key,module,type,category,source,notes
FFColumnSetDefaultOptions,Flexo,dict,data_storage,decompiled_source,Accessed via dictionaryForKey
FFCompareActiveIndexKey,Flexo,unknown,data_storage,binary_extract,
FFCompareModeKey,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFCompareModePlayheadKey,Flexo,unknown,data_storage,binary_extract,
FFCompareSourceMediaIDKey,Final Cut Pro,unknown,data_storage,binary_extract,
FFConsiderHeliumPreLoadEligibleNodes,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey/objectForKey
FFConsolidateRequiredSpaceExternalMediaLocationKey,Flexo,string,path_url,binary_extract,URL/path/location
FFConsolidateRequiredSpaceMediaRepOptionsKey,Flexo,unknown,data_storage,binary_extract,
FFConsolidateRequiredSpaceRequiredSpaceInBytesKey,Flexo,unknown,data_storage,binary_extract,
FFConsumerCinematicToolDisabled,Flexo,bool,behavior_toggle,binary_extract,Hide Cinematic tool in consumer builds
FFConsumerHideYouTubeSignInWarning,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFDebugSmartConformUseAutoCrop,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFDefaultAudioEffect,Flexo,string,data_storage,decompiled_source,Accessed via stringForKey
FFDefaultCrossfadeDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFDefaultFadeAudioDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFDefaultsCreativeAnalysisEnabledKey,Flexo,bool,behavior_toggle,binary_extract,Creative-analysis ML
FFDefaultStillDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFDefaultVideoTransition,Final Cut Pro,string,data_storage,decompiled_source,Accessed via stringForKey
FFDestRendererDiscardFramesForPerfTest,Flexo,bool,perf_monitor,binary_extract,Perf-test: discard rendered frames
FFDestVideoForceDrawFloat,Flexo,int,numeric_config,decompiled_source,Accessed via integerForKey
FFDFRAnchorOverride,Flexo,unknown,data_storage,binary_extract,
FFDFRCropMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
FFDFRDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFDFRKenBurnsMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
FFDFRTrimMode,Final Cut Pro,enum,mode_enum,binary_extract,Enum/mode value
FFDisable4KWarningForTesting,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified [also accessed via integerForKey in decomp]"
FFDisableAudioScrubbing,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFDisableAutomaticColorConformGeneralPref,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFDisableBeatGridOnClip,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFDisableColorVideoByRolesKey,Flexo,bool,behavior_toggle,binary_extract,Don't colorize clips by role
FFDisableDupeDetection,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFDisableFilterTransitionColorConform,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFDisableMarqueeSelectionFilterKey,Flexo,bool,behavior_toggle,binary_extract,Disable marquee-selection filter
FFDisableRenderMenuKey,Flexo,bool,behavior_toggle,binary_extract,Hide render menu
FFDisableSkimming,Flexo,bool,behavior_toggle,curated_verified,VERIFIED 2026-04-19: Disable clip skimming
FFDisableSnapping,Flexo,bool,behavior_toggle,curated_verified,VERIFIED 2026-04-19: Disable magnetic snapping
FFDontCoalesceGaps,Flexo,bool,behavior_toggle,curated_verified,VERIFIED 2026-04-19: Keep adjacent gap items as separate spacers
FFDragPerformanceTest,Flexo,bool,perf_monitor,binary_extract,Perf-test: drag instrumentation
FFDupeDetectionEnabledKey,Flexo,bool,behavior_toggle,binary_extract,Duplicate-range detection [also accessed via boolForKey in decomp]
FFDupeDetectionRetimingEnabledKey,Flexo,bool,behavior_toggle,binary_extract,Duplicate-range detection with retiming
FFEditToolSkimmingDuration,Flexo,CMTime,numeric_config,binary_extract,Duration value
FFEffectAlertTypeKey,Flexo,unknown,data_storage,binary_extract,
FFEffectBrowserNewContentCount,Flexo,int,numeric_config,binary_extract,Count
FFEffectLibraryMakeDefault,Flexo,unknown,data_storage,binary_extract,
FFEffectNodePlaceholderImageLookupFromBundleAndKey,Flexo,unknown,data_storage,binary_extract,
FFEffectNodePlaceholderImageLookupFromBundleMessageAndKey,Flexo,unknown,data_storage,binary_extract,
FFEffectPickerSkimmingMode,Flexo,enum,mode_enum,binary_extract,Enum/mode value
FFEffectPresetCoderKey,Flexo,unknown,data_storage,binary_extract,
FFEffectPresetDataKey,Flexo,unknown,data_storage,binary_extract,
FFEffectPresetFilePresetPathKey,Flexo,unknown,data_storage,binary_extract,
FFEffectPresetFilePresetTypeKey,Flexo,unknown,data_storage,binary_extract,
FFEffectPresetIDKey,Flexo,unknown,data_storage,binary_extract,
FFEmptyTimelineOverlayDismissed,Flexo,bool,behavior_toggle,decompiled_source,Accessed via boolForKey
FFEnableBeatGridOnClip,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableClipSkimming,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableDupeDetection,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableEDROverride,ProCore,bool,behavior_toggle,binary_extract,Force EDR / HDR override [also accessed via boolForKey in decomp]
FFEnableExamineQueueForMinFlushAhead,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableGuards,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified [also accessed via integerForKey in decomp]"
FFEnableHeliumMetalTechnology,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableMetalOscs,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableNewTouchBars,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableScreenSizeOverride,Flexo,bool,behavior_toggle,binary_extract,Override detected display size
FFEnableSDROnlyEffectFiltering,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFEnableSequenceFramespreads,binary_scan,bool,behavior_toggle,binary_strings_scan,"Candidate: discovered via binary strings scan, NOT verified"
FFErrorFlexoMediaRepTypeKey,Flexo,unknown,data_storage,binary_extract,
FFExtendedTimecodeKey,Flexo,bool,behavior_toggle,binary_extract,Extended timecode display
FFExternalProvidersListDidChangeNotificationNewItemsKey,Flexo,unknown,data_storage,binary_extract,
FFExternalProvidersListDidChangeNotificationRemovedItemsKey,Flexo,unknown,data_storage,binary_extract,
FFExternalProvidersSavedWindowInformations,Flexo,dict,data_storage,decompiled_source,Accessed via dictionaryForKey
FFFadeHandlesObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFadeHandlesVideoObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFavoriteFilterKey,Flexo,unknown,data_storage,binary_extract,
FFFilmStripImplicitTransitionLeftObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFilmStripImplicitTransitionRightObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
FFFilmStripLeftObjectKey,Flexo,object,notification_userinfo,binary_extract,NSNotification userInfo object key
